trace,trace_type,eviction,prefetcher,cache_size,interaction_window,miss_ratio,byte_miss_ratio,n_req,n_prefetch,n_prefetch_then_evict,n_prefetch_then_evict_then_miss,n_prefetch_then_evict_no_demand,n_prefetch_then_evict_then_hit,n_evict,n_evict_then_prefetch,n_evict_then_useful_prefetch,n_evict_then_useless_prefetch,log_path,status
w10.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,64mb,10000,0.8815,0.9525,48342350,6661446,4312157,2912123,784956,615078,49273422,2518043,954421,1563622,./results/cp_sweep_intensity/logs/w10.oracleGeneral.bin.zst__lru__Mithril__64mb__w10000.log,ok
w10.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,256mb,100,0.7573,0.9093,48342350,10624212,0,0,0,0,47229973,22840,4146,18694,./results/cp_sweep_intensity/logs/w10.oracleGeneral.bin.zst__fifo__Mithril__256mb__w100.log,ok
w07.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,64mb,10000,0.8161,0.8849,67427405,21163954,2369588,1870320,175332,323936,76181509,1962187,221790,1740397,./results/cp_sweep_intensity/logs/w07.oracleGeneral.bin.zst__fifo__Mithril__64mb__w10000.log,ok
w10.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,16mb,100,0.9291,0.9624,48342350,5146365,1668141,1030533,59852,577756,50058912,820673,178616,642057,./results/cp_sweep_intensity/logs/w10.oracleGeneral.bin.zst__sieve__Mithril__16mb__w100.log,ok
w10.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,256mb,1000,0.7573,0.9093,48342350,10624212,176920,82211,47043,47666,47229973,215229,50691,164538,./results/cp_sweep_intensity/logs/w10.oracleGeneral.bin.zst__fifo__Mithril__256mb__w1000.log,ok
w10.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,1gb,100,0.6790,0.8073,48342350,15083717,0,0,0,0,47891705,14419,2002,12417,./results/cp_sweep_intensity/logs/w10.oracleGeneral.bin.zst__fifo__Mithril__1gb__w100.log,ok
w10.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,16mb,1000,0.9291,0.9624,48342350,5146365,2763844,1770209,210609,783026,50058912,1870628,446296,1424332,./results/cp_sweep_intensity/logs/w10.oracleGeneral.bin.zst__sieve__Mithril__16mb__w1000.log,ok
w10.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,16mb,10000,0.9291,0.9624,48342350,5146365,2974713,1935285,238136,801292,50058912,2688546,731511,1957035,./results/cp_sweep_intensity/logs/w10.oracleGeneral.bin.zst__sieve__Mithril__16mb__w10000.log,ok
w10.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,64mb,100,0.8788,0.9436,48342350,7919402,530034,327382,66272,136380,50400520,173069,26280,146789,./results/cp_sweep_intensity/logs/w10.oracleGeneral.bin.zst__sieve__Mithril__64mb__w100.log,ok
w10.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,64mb,10000,0.8821,0.9532,48342350,6570360,4243463,2861873,776206,605384,49212915,2510716,956536,1554180,./results/cp_sweep_intensity/logs/w10.oracleGeneral.bin.zst__fifo__Mithril__64mb__w10000.log,ok
w10.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,64mb,1000,0.8788,0.9436,48342350,7919402,2674139,1694435,478107,501597,50400520,726429,141622,584807,./results/cp_sweep_intensity/logs/w10.oracleGeneral.bin.zst__sieve__Mithril__64mb__w1000.log,ok
w11.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,16mb,100,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w11.oracleGeneral.bin.zst__lru__Mithril__16mb__w100.log,fail:134
w11.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,16mb,1000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w11.oracleGeneral.bin.zst__lru__Mithril__16mb__w1000.log,fail:134
w11.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,16mb,10000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w11.oracleGeneral.bin.zst__lru__Mithril__16mb__w10000.log,fail:134
w11.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,64mb,100,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w11.oracleGeneral.bin.zst__lru__Mithril__64mb__w100.log,fail:134
w10.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,1gb,1000,0.6790,0.8073,48342350,15083717,0,0,0,0,47891705,140491,23945,116546,./results/cp_sweep_intensity/logs/w10.oracleGeneral.bin.zst__fifo__Mithril__1gb__w1000.log,ok
