trace,trace_type,eviction,prefetcher,cache_size,wss_byte,wss_frac,miss_ratio,byte_miss_ratio,n_req,log_path,status
w60.oracleGeneral.bin.zst,oracleGeneral,lhd,Mithril,352079114,35207911424,0.01,0.8140,0.8601,9898835,./results/cp_wss01_prefetch_ext/logs/w60.oracleGeneral.bin.zst__lhd__Mithril__352079114.log,ok
w62.oracleGeneral.bin.zst,oracleGeneral,s3fifo,OBL,396206090,39620609024,0.01,0.9222,0.8699,9497745,./results/cp_wss01_prefetch_ext/logs/w62.oracleGeneral.bin.zst__s3fifo__OBL__396206090.log,ok
w60.oracleGeneral.bin.zst,oracleGeneral,lhd,OBL,352079114,35207911424,0.01,0.8140,0.8601,9898835,./results/cp_wss01_prefetch_ext/logs/w60.oracleGeneral.bin.zst__lhd__OBL__352079114.log,ok
w62.oracleGeneral.bin.zst,oracleGeneral,s3fifo,PG,396206090,39620609024,0.01,0.9222,0.8699,9497745,./results/cp_wss01_prefetch_ext/logs/w62.oracleGeneral.bin.zst__s3fifo__PG__396206090.log,ok
w61.oracleGeneral.bin.zst,oracleGeneral,gdsf,PG,311276277,31127627776,0.01,0.7193,0.8853,9884691,./results/cp_wss01_prefetch_ext/logs/w61.oracleGeneral.bin.zst__gdsf__PG__311276277.log,ok
w62.oracleGeneral.bin.zst,oracleGeneral,gdsf,none,396206090,39620609024,0.01,0.9254,0.9046,9497745,./results/cp_wss01_prefetch_ext/logs/w62.oracleGeneral.bin.zst__gdsf__noprefetch__396206090.log,ok
w62.oracleGeneral.bin.zst,oracleGeneral,gdsf,OBL,396206090,39620609024,0.01,0.9254,0.9046,9497745,./results/cp_wss01_prefetch_ext/logs/w62.oracleGeneral.bin.zst__gdsf__OBL__396206090.log,ok
w62.oracleGeneral.bin.zst,oracleGeneral,arc,PG,396206090,39620609024,0.01,0.9148,0.8666,9497745,./results/cp_wss01_prefetch_ext/logs/w62.oracleGeneral.bin.zst__arc__PG__396206090.log,ok
w61.oracleGeneral.bin.zst,oracleGeneral,lhd,none,311276277,31127627776,0.01,0.7146,0.9023,9884691,./results/cp_wss01_prefetch_ext/logs/w61.oracleGeneral.bin.zst__lhd__noprefetch__311276277.log,ok
w63.oracleGeneral.bin.zst,oracleGeneral,arc,none,623740083,62374008320,0.01,0.8046,0.6340,9380316,./results/cp_wss01_prefetch_ext/logs/w63.oracleGeneral.bin.zst__arc__noprefetch__623740083.log,ok
w63.oracleGeneral.bin.zst,oracleGeneral,arc,OBL,623740083,62374008320,0.01,0.4687,0.6173,9380316,./results/cp_wss01_prefetch_ext/logs/w63.oracleGeneral.bin.zst__arc__OBL__623740083.log,ok
w61.oracleGeneral.bin.zst,oracleGeneral,lhd,Mithril,311276277,31127627776,0.01,0.7146,0.9023,9884691,./results/cp_wss01_prefetch_ext/logs/w61.oracleGeneral.bin.zst__lhd__Mithril__311276277.log,ok
