trace,trace_type,eviction,prefetcher,cache_size,wss_byte,wss_frac,miss_ratio,byte_miss_ratio,n_req,log_path,status
w79.oracleGeneral.bin.zst,oracleGeneral,lru,PG,657529134,65752913408,0.01,0.9623,0.9566,5411394,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w79.oracleGeneral.bin.zst__lru__PG__657529134.log,ok
w84.oracleGeneral.bin.zst,oracleGeneral,lru,OBL,216742246,21674224640,0.01,0.4818,0.5688,4814234,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w84.oracleGeneral.bin.zst__lru__OBL__216742246.log,ok
w84.oracleGeneral.bin.zst,oracleGeneral,sieve,none,216742246,21674224640,0.01,0.4707,0.5081,4814234,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w84.oracleGeneral.bin.zst__sieve__noprefetch__216742246.log,ok
w79.oracleGeneral.bin.zst,oracleGeneral,sieve,PG,657529134,65752913408,0.01,0.9188,0.9459,5411394,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w79.oracleGeneral.bin.zst__sieve__PG__657529134.log,ok
w80.oracleGeneral.bin.zst,oracleGeneral,sieve,PG,49122165,4912216576,0.01,0.7917,0.8548,5256246,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w80.oracleGeneral.bin.zst__sieve__PG__49122165.log,ok
w82.oracleGeneral.bin.zst,oracleGeneral,lru,PG,26526013,2652601344,0.01,0.4989,0.7447,4926610,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w82.oracleGeneral.bin.zst__lru__PG__26526013.log,ok
w84.oracleGeneral.bin.zst,oracleGeneral,sieve,OBL,216742246,21674224640,0.01,0.4707,0.5081,4814234,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w84.oracleGeneral.bin.zst__sieve__OBL__216742246.log,ok
w79.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,657529134,65752913408,0.01,,,,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w79.oracleGeneral.bin.zst__lru__Mithril__657529134.log,fail:134
w82.oracleGeneral.bin.zst,oracleGeneral,sieve,PG,26526013,2652601344,0.01,0.4608,0.7332,4926610,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w82.oracleGeneral.bin.zst__sieve__PG__26526013.log,ok
w80.oracleGeneral.bin.zst,oracleGeneral,lru,PG,49122165,4912216576,0.01,0.7961,0.8576,5256246,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w80.oracleGeneral.bin.zst__lru__PG__49122165.log,ok
w81.oracleGeneral.bin.zst,oracleGeneral,lru,PG,205789936,20578993664,0.01,0.7383,0.9078,5026619,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w81.oracleGeneral.bin.zst__lru__PG__205789936.log,ok
w85.oracleGeneral.bin.zst,oracleGeneral,sieve,none,239353927,23935392768,0.01,0.8017,0.9630,4790048,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w85.oracleGeneral.bin.zst__sieve__noprefetch__239353927.log,ok
w85.oracleGeneral.bin.zst,oracleGeneral,lru,none,239353927,23935392768,0.01,0.8446,0.9730,4790048,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w85.oracleGeneral.bin.zst__lru__noprefetch__239353927.log,ok
w85.oracleGeneral.bin.zst,oracleGeneral,sieve,OBL,239353927,23935392768,0.01,0.8017,0.9630,4790048,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w85.oracleGeneral.bin.zst__sieve__OBL__239353927.log,ok
w85.oracleGeneral.bin.zst,oracleGeneral,lru,OBL,239353927,23935392768,0.01,0.8446,0.9730,4790048,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w85.oracleGeneral.bin.zst__lru__OBL__239353927.log,ok
w81.oracleGeneral.bin.zst,oracleGeneral,sieve,PG,205789936,20578993664,0.01,0.7174,0.9035,5026619,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w81.oracleGeneral.bin.zst__sieve__PG__205789936.log,ok
w79.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,657529134,65752913408,0.01,0.8971,0.9405,5411394,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w79.oracleGeneral.bin.zst__sieve__Mithril__657529134.log,ok
w83.oracleGeneral.bin.zst,oracleGeneral,sieve,PG,212506513,21250651328,0.01,0.4716,0.8139,3880481,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w83.oracleGeneral.bin.zst__sieve__PG__212506513.log,ok
w83.oracleGeneral.bin.zst,oracleGeneral,lru,PG,212506513,21250651328,0.01,0.4829,0.8240,3880481,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w83.oracleGeneral.bin.zst__lru__PG__212506513.log,ok
w86.oracleGeneral.bin.zst,oracleGeneral,lru,none,881879598,88187959808,0.01,0.9557,0.9813,4749563,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w86.oracleGeneral.bin.zst__lru__noprefetch__881879598.log,ok
w86.oracleGeneral.bin.zst,oracleGeneral,lru,OBL,881879598,88187959808,0.01,0.9557,0.9813,4749563,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w86.oracleGeneral.bin.zst__lru__OBL__881879598.log,ok
w86.oracleGeneral.bin.zst,oracleGeneral,sieve,none,881879598,88187959808,0.01,0.9478,0.9789,4749563,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w86.oracleGeneral.bin.zst__sieve__noprefetch__881879598.log,ok
